Escuela,Sexo,Edad,HorasDeEstudio,Reprobadas,Internet,Faltas,G1,G2,G3
GP,F,18,2,0,no,6,5,6,6
GP,F,17,2,0,yes,4,5,5,6
GP,F,15,2,3,yes,10,7,8,10
GP,F,15,3,0,yes,2,15,14,15
GP,F,16,2,0,no,4,6,10,10
GP,M,16,2,0,yes,10,15,15,15
GP,M,16,2,0,yes,0,12,12,11
GP,F,17,2,0,no,6,6,5,6
GP,M,15,2,0,yes,0,16,18,19
GP,M,15,2,0,yes,0,14,15,15
GP,F,15,2,0,yes,0,10,8,9
GP,F,15,3,0,yes,4,10,12,12
GP,M,15,1,0,yes,2,14,14,14
GP,M,15,2,0,yes,2,10,10,11
GP,M,15,3,0,yes,0,14,16,16
GP,F,16,1,0,yes,4,14,14,14
GP,F,16,3,0,yes,6,13,14,14
GP,F,16,2,0,no,4,8,10,10
GP,M,17,1,3,yes,16,6,5,5
GP,M,16,1,0,yes,4,8,10,10
GP,M,15,2,0,yes,0,13,14,15
GP,M,15,1,0,yes,0,12,15,15
GP,M,16,2,0,yes,2,15,15,16
GP,M,16,2,0,yes,0,13,13,12
GP,F,15,3,0,yes,2,10,9,8
GP,F,16,1,2,yes,14,6,9,8
GP,M,15,1,0,yes,2,12,12,11
GP,M,15,1,0,yes,4,15,16,15
GP,M,16,2,0,yes,4,11,11,11
GP,M,16,2,0,yes,16,10,12,11
GP,M,15,2,0,yes,0,9,11,12
GP,M,15,2,0,yes,0,17,16,17
GP,M,15,2,0,yes,0,17,16,16
GP,M,15,2,0,yes,0,8,10,12
GP,M,16,1,0,yes,0,12,14,15
GP,F,15,1,0,no,0,8,7,6
GP,M,15,3,0,yes,2,15,16,18
GP,M,16,3,0,yes,7,15,16,15
GP,F,15,3,0,yes,2,12,12,11
GP,F,15,1,0,no,8,14,13,13
GP,F,16,2,1,yes,25,7,10,11
GP,M,15,1,0,yes,8,12,12,12
GP,M,15,2,0,yes,2,19,18,18
GP,M,15,1,0,yes,0,8,8,11
GP,F,16,2,1,yes,14,10,10,9
GP,F,15,2,0,yes,8,8,8,6
GP,F,16,2,0,yes,12,11,12,11
GP,M,16,4,0,yes,4,19,19,20
GP,M,15,2,0,no,2,15,15,14
GP,F,15,2,1,yes,2,7,7,7
GP,F,16,2,0,yes,2,12,13,13
GP,F,15,2,0,yes,2,11,13,13
GP,M,15,1,1,no,6,11,11,10
GP,F,15,1,0,yes,0,8,10,11
GP,F,15,1,0,yes,6,10,13,13
GP,F,16,2,0,yes,8,8,9,10
GP,F,15,2,0,yes,0,14,15,15
GP,M,15,2,0,no,4,14,15,15
GP,M,15,2,0,yes,2,9,10,9
GP,F,16,2,0,yes,2,15,16,16
GP,F,16,2,0,no,6,10,11,11
GP,F,16,1,0,yes,6,10,8,11
GP,F,16,2,0,yes,4,8,10,9
GP,F,16,3,0,yes,2,10,9,9
GP,F,15,2,0,yes,0,10,10,10
GP,F,16,2,0,yes,2,16,15,15
GP,M,15,4,0,yes,4,13,13,12
GP,F,16,4,0,yes,4,7,7,6
GP,F,15,2,0,yes,2,8,9,8
GP,F,15,4,0,yes,12,16,16,16
GP,M,16,4,0,yes,0,13,15,15
GP,M,15,4,0,yes,0,10,10,10
GP,F,15,2,2,yes,2,8,6,5
GP,M,16,1,0,no,2,12,12,14
GP,F,16,2,0,yes,54,11,12,11
GP,M,15,2,0,yes,6,9,9,10
GP,M,15,4,0,yes,8,11,11,10
GP,F,16,4,0,yes,0,11,11,11
GP,M,17,1,3,yes,2,8,8,10
GP,F,16,2,0,yes,12,5,5,5
GP,M,15,1,0,yes,2,10,12,12
GP,M,15,3,0,yes,4,11,10,11
GP,F,15,2,0,yes,10,7,6,6
GP,M,15,2,0,yes,4,15,15,15
GP,F,15,2,0,yes,2,9,10,10
GP,F,15,2,2,yes,6,7,9,8
GP,F,16,2,0,no,4,8,7,6
GP,F,15,3,0,yes,4,13,14,14
